striker,non_striker,runs
FDM Karunaratne,RAS Lakmal,30
RAS Lakmal,FDM Karunaratne,10
FDM Karunaratne,PADLR Sandakan,35
PADLR Sandakan,FDM Karunaratne,25
AD Mathews,RAS Lakmal,176
RAS Lakmal,AD Mathews,103
A Dananjaya,HMRKB Herath,35
HMRKB Herath,A Dananjaya,35
FDM Karunaratne,BOP Fernando,178
BOP Fernando,FDM Karunaratne,157
MDKJ Perera,N Dickwella,6
N Dickwella,MDKJ Perera,8
MDKJ Perera,L Embuldeniya,14
L Embuldeniya,MDKJ Perera,4
CAK Rajitha,L Embuldeniya,12
L Embuldeniya,CAK Rajitha,19
L Embuldeniya,MVT Fernando,10
MVT Fernando,L Embuldeniya,17
BOP Fernando,BKG Mendis,130
BKG Mendis,BOP Fernando,139
BOP Fernando,MDKJ Perera,27
MDKJ Perera,BOP Fernando,25
MDKJ Perera,CAK Rajitha,11
CAK Rajitha,MDKJ Perera,2
MDKJ Perera,MVT Fernando,67
MVT Fernando,MDKJ Perera,6
HDRL Thirimanne,BOP Fernando,9
BOP Fernando,HDRL Thirimanne,0
HDRL Thirimanne,BKG Mendis,11
BKG Mendis,HDRL Thirimanne,24
CAK Rajitha,HDRL Thirimanne,0
HDRL Thirimanne,CAK Rajitha,5
N Dickwella,PVD Chameera,38
PVD Chameera,N Dickwella,0
CBRLS Kumara,PVD Chameera,0
PVD Chameera,CBRLS Kumara,3
LD Chandimal,HDRL Thirimanne,241
HDRL Thirimanne,LD Chandimal,167
HDRL Thirimanne,ARS Silva,9
ARS Silva,HDRL Thirimanne,3
DM de Silva,HDRL Thirimanne,14
HDRL Thirimanne,DM de Silva,14
N Dickwella,HDRL Thirimanne,20
HDRL Thirimanne,N Dickwella,17
RAS Lakmal,PVD Chameera,76
PVD Chameera,RAS Lakmal,11
LD Chandimal,MDKJ Perera,10
MDKJ Perera,LD Chandimal,9
N Dickwella,C Karunaratne,1
C Karunaratne,N Dickwella,0
CAK Rajitha,MVT Fernando,1
MVT Fernando,CAK Rajitha,0
C Karunaratne,BKG Mendis,22
BKG Mendis,C Karunaratne,24
MDK Perera,C Karunaratne,0
C Karunaratne,MDK Perera,0
CAK Rajitha,N Dickwella,2
N Dickwella,CAK Rajitha,33
CBRLS Kumara,N Dickwella,0
N Dickwella,CBRLS Kumara,7
MD Gunathilaka,LD Chandimal,7
LD Chandimal,MD Gunathilaka,11
PVD Chameera,AD Mathews,2
AD Mathews,PVD Chameera,18
AD Mathews,CBRLS Kumara,0
CBRLS Kumara,AD Mathews,0
MDK Perera,PVD Chameera,0
PVD Chameera,MDK Perera,0
AD Mathews,MDKJ Perera,118
MDKJ Perera,AD Mathews,128
N Dickwella,L Embuldeniya,22
L Embuldeniya,N Dickwella,1
L Embuldeniya,CBRLS Kumara,9
CBRLS Kumara,L Embuldeniya,0
DM de Silva,L Embuldeniya,10
L Embuldeniya,DM de Silva,0
DM de Silva,CBRLS Kumara,15
CBRLS Kumara,DM de Silva,5
MDKJ Perera,HDRL Thirimanne,1
HDRL Thirimanne,MDKJ Perera,2
AD Mathews,L Embuldeniya,5
L Embuldeniya,AD Mathews,13
MDK Perera,MVT Fernando,28
MVT Fernando,MDK Perera,5
BOP Fernando,AD Mathews,10
AD Mathews,BOP Fernando,19
BOP Fernando,LD Chandimal,24
LD Chandimal,BOP Fernando,2
BOP Fernando,DM de Silva,1
DM de Silva,BOP Fernando,0
BOP Fernando,N Dickwella,38
N Dickwella,BOP Fernando,65
BOP Fernando,MDK Perera,6
MDK Perera,BOP Fernando,5
BOP Fernando,L Embuldeniya,0
L Embuldeniya,BOP Fernando,0
BOP Fernando,MVT Fernando,0
MVT Fernando,BOP Fernando,0
AD Mathews,CAK Rajitha,4
CAK Rajitha,AD Mathews,1
SM Warnapura,MG Vandort,144
MG Vandort,SM Warnapura,121
SM Warnapura,KC Sangakkara,254
KC Sangakkara,SM Warnapura,189
KC Sangakkara,DPMD Jayawardene,1374
DPMD Jayawardene,KC Sangakkara,1207
DPMD Jayawardene,TT Samaraweera,993
TT Samaraweera,DPMD Jayawardene,1042
DPMD Jayawardene,TM Dilshan,214
TM Dilshan,DPMD Jayawardene,267
DPMD Jayawardene,HAPW Jayawardene,304
HAPW Jayawardene,DPMD Jayawardene,264
DPMD Jayawardene,WPUJC Vaas,94
WPUJC Vaas,DPMD Jayawardene,54
WPUJC Vaas,T Thushara,2
T Thushara,WPUJC Vaas,0
WPUJC Vaas,HMRKB Herath,3
HMRKB Herath,WPUJC Vaas,13
DPMD Jayawardene,SM Warnapura,149
SM Warnapura,DPMD Jayawardene,154
TM Dilshan,TT Samaraweera,354
TT Samaraweera,TM Dilshan,314
TT Samaraweera,WPUJC Vaas,89
WPUJC Vaas,TT Samaraweera,58
TT Samaraweera,T Thushara,21
T Thushara,TT Samaraweera,24
TT Samaraweera,HAPW Jayawardene,217
HAPW Jayawardene,TT Samaraweera,185
MG Vandort,KC Sangakkara,0
KC Sangakkara,MG Vandort,13
MG Vandort,DPMD Jayawardene,8
DPMD Jayawardene,MG Vandort,17
TM Dilshan,LPC Silva,58
LPC Silva,TM Dilshan,37
LPC Silva,WPUJC Vaas,1
WPUJC Vaas,LPC Silva,1
T Thushara,LPC Silva,1
LPC Silva,T Thushara,15
M Muralitharan,LPC Silva,8
LPC Silva,M Muralitharan,6
MKDI Amerasinghe,LPC Silva,0
LPC Silva,MKDI Amerasinghe,17
KC Sangakkara,TT Samaraweera,495
TT Samaraweera,KC Sangakkara,589
TT Samaraweera,LPC Silva,13
LPC Silva,TT Samaraweera,13
TT Samaraweera,M Muralitharan,24
M Muralitharan,TT Samaraweera,49
M Muralitharan,MKDI Amerasinghe,0
MKDI Amerasinghe,M Muralitharan,0
TM Dilshan,HAPW Jayawardene,120
HAPW Jayawardene,TM Dilshan,100
TM Dilshan,WPUJC Vaas,29
WPUJC Vaas,TM Dilshan,22
DPMD Jayawardene,KMDN Kulasekara,34
KMDN Kulasekara,DPMD Jayawardene,9
KMDN Kulasekara,BAW Mendis,0
BAW Mendis,KMDN Kulasekara,0
KMDN Kulasekara,M Muralitharan,10
M Muralitharan,KMDN Kulasekara,12
MG Vandort,TT Samaraweera,6
TT Samaraweera,MG Vandort,14
TT Samaraweera,KMDN Kulasekara,18
KMDN Kulasekara,TT Samaraweera,19
BAW Mendis,TT Samaraweera,90
TT Samaraweera,BAW Mendis,117
WPUJC Vaas,MG Vandort,14
MG Vandort,WPUJC Vaas,11
WPUJC Vaas,KC Sangakkara,33
KC Sangakkara,WPUJC Vaas,59
TM Dilshan,KC Sangakkara,880
KC Sangakkara,TM Dilshan,754
KC Sangakkara,HAPW Jayawardene,249
HAPW Jayawardene,KC Sangakkara,297
HAPW Jayawardene,KTGD Prasad,42
KTGD Prasad,HAPW Jayawardene,96
KTGD Prasad,BAW Mendis,12
BAW Mendis,KTGD Prasad,17
BAW Mendis,M Muralitharan,6
M Muralitharan,BAW Mendis,0
HAPW Jayawardene,SM Warnapura,28
SM Warnapura,HAPW Jayawardene,28
SM Warnapura,TT Samaraweera,14
TT Samaraweera,SM Warnapura,19
SM Warnapura,TM Dilshan,29
TM Dilshan,SM Warnapura,86
TM Dilshan,CK Kapugedera,129
CK Kapugedera,TM Dilshan,122
CK Kapugedera,WPUJC Vaas,33
WPUJC Vaas,CK Kapugedera,23
M Muralitharan,WPUJC Vaas,0
WPUJC Vaas,M Muralitharan,0
BAW Mendis,CRD Fernando,0
CRD Fernando,BAW Mendis,0
NT Paranavitana,SM Warnapura,82
SM Warnapura,NT Paranavitana,94
HAPW Jayawardene,WPUJC Vaas,18
WPUJC Vaas,HAPW Jayawardene,12
NT Paranavitana,KC Sangakkara,522
KC Sangakkara,NT Paranavitana,695
TM Dilshan,T Thushara,36
T Thushara,TM Dilshan,15
M Muralitharan,TM Dilshan,2
TM Dilshan,M Muralitharan,4
CRD Fernando,M Muralitharan,14
M Muralitharan,CRD Fernando,20
NT Paranavitana,DPMD Jayawardene,226
DPMD Jayawardene,NT Paranavitana,197
TT Samaraweera,NT Paranavitana,139
NT Paranavitana,TT Samaraweera,120
TM Dilshan,AD Mathews,211
AD Mathews,TM Dilshan,185
AD Mathews,KMDN Kulasekara,100
KMDN Kulasekara,AD Mathews,88
KMDN Kulasekara,HMRKB Herath,41
HMRKB Herath,KMDN Kulasekara,62
HMRKB Herath,T Thushara,1
T Thushara,HMRKB Herath,10
HMRKB Herath,BAW Mendis,11
BAW Mendis,HMRKB Herath,9
SM Warnapura,HMRKB Herath,0
