striker,non_striker,runs
Tamim Iqbal,Nazmul Hossain Shanto,42
Nazmul Hossain Shanto,Tamim Iqbal,47
Mohammad Mithun,Liton Das,20
Liton Das,Mohammad Mithun,33
Mohammad Mithun,Taijul Islam,27
Taijul Islam,Mohammad Mithun,24
Rubel Hossain,Mohammad Mithun,1
Mohammad Mithun,Rubel Hossain,10
Abu Jayed,Mohammad Mithun,0
Mohammad Mithun,Abu Jayed,4
Mominul Haque,Taijul Islam,0
Taijul Islam,Mominul Haque,0
Junaid Siddique,Tamim Iqbal,346
Tamim Iqbal,Junaid Siddique,548
Tamim Iqbal,Habibul Bashar,15
Habibul Bashar,Tamim Iqbal,23
Mohammad Ashraful,Tamim Iqbal,36
Tamim Iqbal,Mohammad Ashraful,19
Tamim Iqbal,Shahriar Nafees,207
Shahriar Nafees,Tamim Iqbal,223
Tamim Iqbal,Aftab Ahmed,35
Aftab Ahmed,Tamim Iqbal,1
Mushfiqur Rahim,Mashrafe Mortaza,52
Mashrafe Mortaza,Mushfiqur Rahim,82
Mushfiqur Rahim,Shahadat Hossain,93
Shahadat Hossain,Mushfiqur Rahim,73
Mushfiqur Rahim,Enamul Haque jnr,4
Enamul Haque jnr,Mushfiqur Rahim,2
Enamul Haque jnr,Sajedul Islam,0
Sajedul Islam,Enamul Haque jnr,5
Junaid Siddique,Habibul Bashar,6
Habibul Bashar,Junaid Siddique,5
Habibul Bashar,Mohammad Ashraful,19
Mohammad Ashraful,Habibul Bashar,4
Mohammad Ashraful,Shahriar Nafees,99
Shahriar Nafees,Mohammad Ashraful,55
Shahriar Nafees,Aftab Ahmed,36
Aftab Ahmed,Shahriar Nafees,21
Shahriar Nafees,Mushfiqur Rahim,9
Mushfiqur Rahim,Shahriar Nafees,6
Shahriar Nafees,Mashrafe Mortaza,0
Mashrafe Mortaza,Shahriar Nafees,10
Enamul Haque jnr,Shahriar Nafees,6
Shahriar Nafees,Enamul Haque jnr,13
Enamul Haque jnr,Shahadat Hossain,0
Shahadat Hossain,Enamul Haque jnr,0
Junaid Siddique,Mohammad Ashraful,96
Mohammad Ashraful,Junaid Siddique,101
Mohammad Ashraful,Aftab Ahmed,31
Aftab Ahmed,Mohammad Ashraful,23
Aftab Ahmed,Mushfiqur Rahim,2
Mushfiqur Rahim,Aftab Ahmed,8
Aftab Ahmed,Shakib Al Hasan,65
Shakib Al Hasan,Aftab Ahmed,43
Aftab Ahmed,Shahadat Hossain,0
Shahadat Hossain,Aftab Ahmed,1
Aftab Ahmed,Sajedul Islam,0
Sajedul Islam,Aftab Ahmed,6
Mashrafe Mortaza,Aftab Ahmed,15
Aftab Ahmed,Mashrafe Mortaza,6
Junaid Siddique,Shahriar Nafees,24
Shahriar Nafees,Junaid Siddique,48
Shahriar Nafees,Habibul Bashar,19
Habibul Bashar,Shahriar Nafees,11
Habibul Bashar,Aftab Ahmed,9
Aftab Ahmed,Habibul Bashar,5
Habibul Bashar,Mushfiqur Rahim,1
Mushfiqur Rahim,Habibul Bashar,0
Shakib Al Hasan,Habibul Bashar,5
Habibul Bashar,Shakib Al Hasan,5
Shakib Al Hasan,Shahadat Hossain,40
Shahadat Hossain,Shakib Al Hasan,6
Shakib Al Hasan,Sajedul Islam,0
Sajedul Islam,Shakib Al Hasan,3
Mashrafe Mortaza,Shakib Al Hasan,43
Shakib Al Hasan,Mashrafe Mortaza,67
Mushfiqur Rahim,Mohammad Rafique,0
Mohammad Rafique,Mushfiqur Rahim,0
Mashrafe Mortaza,Shahadat Hossain,84
Shahadat Hossain,Mashrafe Mortaza,24
Aftab Ahmed,Junaid Siddique,56
Junaid Siddique,Aftab Ahmed,69
Mohammad Rafique,Shakib Al Hasan,20
Shakib Al Hasan,Mohammad Rafique,5
Shahriar Nafees,Abdur Razzak,28
Abdur Razzak,Shahriar Nafees,33
Mohammad Rafique,Mashrafe Mortaza,4
Mashrafe Mortaza,Mohammad Rafique,1
Shakib Al Hasan,Mohammad Ashraful,56
Mohammad Ashraful,Shakib Al Hasan,53
Mushfiqur Rahim,Abdur Razzak,3
Abdur Razzak,Mushfiqur Rahim,15
Abdur Razzak,Mohammad Rafique,0
Mohammad Rafique,Abdur Razzak,0
Abdur Razzak,Shahadat Hossain,38
Shahadat Hossain,Abdur Razzak,32
Abdur Razzak,Mashrafe Mortaza,6
Mashrafe Mortaza,Abdur Razzak,26
Junaid Siddique,Imrul Kayes,70
Imrul Kayes,Junaid Siddique,52
Mohammad Ashraful,Imrul Kayes,3
Imrul Kayes,Mohammad Ashraful,9
Mehrab Hossain jnr,Mohammad Ashraful,20
Mohammad Ashraful,Mehrab Hossain jnr,22
Mehrab Hossain jnr,Shakib Al Hasan,4
Shakib Al Hasan,Mehrab Hossain jnr,14
Mehrab Hossain jnr,Mushfiqur Rahim,14
Mushfiqur Rahim,Mehrab Hossain jnr,5
Naeem Islam,Mushfiqur Rahim,132
Mushfiqur Rahim,Naeem Islam,173
Shahadat Hossain,Mahbubul Alam,4
Mahbubul Alam,Shahadat Hossain,1
Mehrab Hossain jnr,Naeem Islam,6
Naeem Islam,Mehrab Hossain jnr,3
Mashrafe Mortaza,Mehrab Hossain jnr,6
Mehrab Hossain jnr,Mashrafe Mortaza,8
Mehrab Hossain jnr,Shahadat Hossain,19
Shahadat Hossain,Mehrab Hossain jnr,16
Mehrab Hossain jnr,Mahbubul Alam,7
Mahbubul Alam,Mehrab Hossain jnr,0
Mehrab Hossain jnr,Junaid Siddique,3
Junaid Siddique,Mehrab Hossain jnr,11
Junaid Siddique,Raqibul Hasan,79
Raqibul Hasan,Junaid Siddique,63
Junaid Siddique,Shakib Al Hasan,14
Shakib Al Hasan,Junaid Siddique,50
Mushfiqur Rahim,Junaid Siddique,95
Junaid Siddique,Mushfiqur Rahim,77
Mushfiqur Rahim,Mahbubul Alam,49
Mahbubul Alam,Mushfiqur Rahim,1
Raqibul Hasan,Mohammad Ashraful,43
Mohammad Ashraful,Raqibul Hasan,60
Raqibul Hasan,Shakib Al Hasan,82
Shakib Al Hasan,Raqibul Hasan,107
Raqibul Hasan,Mushfiqur Rahim,42
Mushfiqur Rahim,Raqibul Hasan,37
Raqibul Hasan,Mashrafe Mortaza,12
Mashrafe Mortaza,Raqibul Hasan,19
Mashrafe Mortaza,Mahbubul Alam,3
Mahbubul Alam,Mashrafe Mortaza,1
Tamim Iqbal,Rajin Saleh,0
Rajin Saleh,Tamim Iqbal,0
Mehrab Hossain jnr,Tamim Iqbal,7
Tamim Iqbal,Mehrab Hossain jnr,5
Mohammad Ashraful,Mushfiqur Rahim,157
Mushfiqur Rahim,Mohammad Ashraful,189
Mashrafe Mortaza,Enamul Haque jnr,5
Enamul Haque jnr,Mashrafe Mortaza,4
Shahadat Hossain,Rubel Hossain,33
Rubel Hossain,Shahadat Hossain,13
Tamim Iqbal,Enamul Haque jnr,12
Enamul Haque jnr,Tamim Iqbal,13
Mahmudullah,Shahadat Hossain,42
Shahadat Hossain,Mahmudullah,56
Mahmudullah,Rubel Hossain,52
Rubel Hossain,Mahmudullah,11
Shafiul Islam,Mahmudullah,25
Mahmudullah,Shafiul Islam,117
Shafiul Islam,Rubel Hossain,15
Rubel Hossain,Shafiul Islam,9
Imrul Kayes,Aftab Ahmed,12
