striker,non_striker,runs
DM Bravo,SO Hetmyer,16
SO Hetmyer,DM Bravo,30
DM Bravo,KAJ Roach,116
KAJ Roach,DM Bravo,71
DM Bravo,ST Gabriel,7
ST Gabriel,DM Bravo,1
SSJ Brooks,KC Brathwaite,76
KC Brathwaite,SSJ Brooks,47
SSJ Brooks,DM Bravo,10
DM Bravo,SSJ Brooks,9
JD Campbell,SSJ Brooks,41
SSJ Brooks,JD Campbell,43
JN Hamilton,JO Holder,2
JO Holder,JN Hamilton,9
JN Hamilton,RRS Cornwall,0
RRS Cornwall,JN Hamilton,14
JN Hamilton,KAJ Roach,3
KAJ Roach,JN Hamilton,17
JD Campbell,DM Bravo,10
DM Bravo,JD Campbell,14
SSJ Brooks,RL Chase,82
RL Chase,SSJ Brooks,52
SSJ Brooks,SO Hetmyer,8
SO Hetmyer,SSJ Brooks,14
SSJ Brooks,J Blackwood,62
J Blackwood,SSJ Brooks,93
SSJ Brooks,JO Holder,22
JO Holder,SSJ Brooks,38
JO Holder,RRS Cornwall,2
RRS Cornwall,JO Holder,1
SSJ Brooks,SO Dowrich,24
SO Dowrich,SSJ Brooks,42
SSJ Brooks,RRS Cornwall,12
RRS Cornwall,SSJ Brooks,5
SSJ Brooks,KAJ Roach,10
KAJ Roach,SSJ Brooks,0
SD Hope,SSJ Brooks,24
SSJ Brooks,SD Hope,20
JO Holder,JD Campbell,4
JD Campbell,JO Holder,7
SO Dowrich,RRS Cornwall,0
RRS Cornwall,SO Dowrich,10
KC Brathwaite,KAJ Roach,28
KAJ Roach,KC Brathwaite,7
J Blackwood,RRS Cornwall,0
RRS Cornwall,J Blackwood,2
J Blackwood,ST Gabriel,51
ST Gabriel,J Blackwood,7
D Ganga,CH Gayle,3
CH Gayle,D Ganga,8
CH Gayle,RS Morton,32
RS Morton,CH Gayle,23
CH Gayle,MN Samuels,102
MN Samuels,CH Gayle,83
MN Samuels,S Chanderpaul,552
S Chanderpaul,MN Samuels,514
S Chanderpaul,DJ Bravo,263
DJ Bravo,S Chanderpaul,336
S Chanderpaul,D Ramdin,616
D Ramdin,S Chanderpaul,610
S Chanderpaul,RN Lewis,6
RN Lewis,S Chanderpaul,1
S Chanderpaul,JE Taylor,48
JE Taylor,S Chanderpaul,111
S Chanderpaul,DBL Powell,7
DBL Powell,S Chanderpaul,13
S Chanderpaul,FH Edwards,105
FH Edwards,S Chanderpaul,77
D Ramdin,D Ganga,32
D Ganga,D Ramdin,15
D Ganga,RS Morton,0
RS Morton,D Ganga,13
D Ganga,MN Samuels,7
MN Samuels,D Ganga,13
S Chanderpaul,CH Gayle,166
CH Gayle,S Chanderpaul,253
BA Parchment,D Ganga,22
D Ganga,BA Parchment,14
BA Parchment,RS Morton,0
RS Morton,BA Parchment,5
BA Parchment,MN Samuels,9
MN Samuels,BA Parchment,2
DJ Bravo,D Ramdin,85
D Ramdin,DJ Bravo,57
DJG Sammy,D Ramdin,184
D Ramdin,DJG Sammy,110
DJG Sammy,JE Taylor,24
JE Taylor,DJG Sammy,30
DBL Powell,DJG Sammy,34
DJG Sammy,DBL Powell,12
DBL Powell,FH Edwards,29
FH Edwards,DBL Powell,30
RS Morton,MN Samuels,25
MN Samuels,RS Morton,14
MN Samuels,DJ Bravo,68
DJ Bravo,MN Samuels,75
D Ramdin,MN Samuels,98
MN Samuels,D Ramdin,149
MN Samuels,DJG Sammy,195
DJG Sammy,MN Samuels,208
JE Taylor,DBL Powell,16
DBL Powell,JE Taylor,12
FH Edwards,JE Taylor,1
JE Taylor,FH Edwards,17
DS Smith,CH Gayle,112
CH Gayle,DS Smith,210
RR Sarwan,DS Smith,117
DS Smith,RR Sarwan,100
RR Sarwan,MN Samuels,45
MN Samuels,RR Sarwan,29
RR Sarwan,S Chanderpaul,457
S Chanderpaul,RR Sarwan,401
DJ Bravo,RR Sarwan,79
RR Sarwan,DJ Bravo,52
RR Sarwan,RO Hinds,109
RO Hinds,RR Sarwan,84
RO Hinds,D Ramdin,11
D Ramdin,RO Hinds,21
D Ramdin,SJ Benn,84
SJ Benn,D Ramdin,88
SJ Benn,JE Taylor,8
JE Taylor,SJ Benn,32
DJ Bravo,DS Smith,38
DS Smith,DJ Bravo,30
RR Sarwan,CH Gayle,203
CH Gayle,RR Sarwan,169
CH Gayle,RO Hinds,5
RO Hinds,CH Gayle,10
CH Gayle,D Ramdin,4
D Ramdin,CH Gayle,10
CH Gayle,SJ Benn,6
SJ Benn,CH Gayle,12
CH Gayle,JE Taylor,23
JE Taylor,CH Gayle,12
CH Gayle,DBL Powell,16
DBL Powell,CH Gayle,14
S Chattergoon,CH Gayle,24
CH Gayle,S Chattergoon,60
S Chattergoon,RR Sarwan,39
RR Sarwan,S Chattergoon,36
S Chanderpaul,DS Smith,21
DS Smith,S Chanderpaul,27
DS Smith,D Ramdin,14
D Ramdin,DS Smith,4
JE Taylor,D Ramdin,127
D Ramdin,JE Taylor,62
D Ramdin,DBL Powell,31
DBL Powell,D Ramdin,15
BA Parchment,DS Smith,23
DS Smith,BA Parchment,35
RR Sarwan,BA Parchment,7
BA Parchment,RR Sarwan,1
RS Morton,S Chanderpaul,72
S Chanderpaul,RS Morton,62
S Chanderpaul,DJG Sammy,119
DJG Sammy,S Chanderpaul,170
S Chanderpaul,AS Jaggernauth,14
AS Jaggernauth,S Chanderpaul,0
RS Morton,DS Smith,0
DS Smith,RS Morton,5
FH Edwards,AS Jaggernauth,0
AS Jaggernauth,FH Edwards,0
XM Marshall,DS Smith,30
DS Smith,XM Marshall,16
XM Marshall,RR Sarwan,90
RR Sarwan,XM Marshall,89
RR Sarwan,RS Morton,49
RS Morton,RR Sarwan,16
XM Marshall,S Chanderpaul,34
S Chanderpaul,XM Marshall,27
SJ Benn,S Chanderpaul,54
S Chanderpaul,SJ Benn,57
XM Marshall,CH Gayle,28
CH Gayle,XM Marshall,26
JE Taylor,S Chattergoon,4
S Chattergoon,JE Taylor,2
S Chattergoon,SJ Benn,11
SJ Benn,S Chattergoon,13
SJ Benn,DBL Powell,16
DBL Powell,SJ Benn,14
S Chanderpaul,BP Nash,286
BP Nash,S Chanderpaul,343
BP Nash,D Ramdin,137
D Ramdin,BP Nash,126
BP Nash,JE Taylor,28
JE Taylor,BP Nash,37
BP Nash,SJ Benn,36
SJ Benn,BP Nash,49
DBL Powell,BP Nash,3
BP Nash,DBL Powell,2
RR Sarwan,BP Nash,80
BP Nash,RR Sarwan,43
RR Sarwan,D Ramdin,146
D Ramdin,RR Sarwan,100
CH Gayle,LMP Simmons,43
LMP Simmons,CH Gayle,22
S Chanderpaul,LMP Simmons,33
LMP Simmons,S Chanderpaul,13
S Chanderpaul,RO Hinds,28
RO Hinds,S Chanderpaul,29
S Chanderpaul,LS Baker,1
LS Baker,S Chanderpaul,0
LMP Simmons,DS Smith,39
DS Smith,LMP Simmons,68
RO Hinds,BP Nash,4
BP Nash,RO Hinds,1
D Ramdin,FH Edwards,30
FH Edwards,D Ramdin,19
LMP Simmons,BP Nash,10
BP Nash,LMP Simmons,4
D Ramdin,LMP Simmons,0
LMP Simmons,D Ramdin,0
FH Edwards,LS Baker,10
LS Baker,FH Edwards,21
BP Nash,DS Smith,0
DS Smith,BP Nash,4
BP Nash,FH Edwards,1
FH Edwards,BP Nash,2
BP Nash,LS Baker,5
LS Baker,BP Nash,2
RR Sarwan,LMP Simmons,21
LMP Simmons,RR Sarwan,20
D Ramdin,LS Baker,0
LS Baker,D Ramdin,0
DS Smith,DBL Powell,34
DBL Powell,DS Smith,18
DBL Powell,RR Sarwan,4
RR Sarwan,DBL Powell,13
OJ Phillips,DM Richards,34
DM Richards,OJ Phillips,75
OJ Phillips,RA Austin,54
RA Austin,OJ Phillips,17
OJ Phillips,TM Dowlin,54
TM Dowlin,OJ Phillips,52
FL Reifer,OJ Phillips,12
OJ Phillips,FL Reifer,18
FL Reifer,DE Bernard,13
DE Bernard,FL Reifer,35
DE Bernard,CAK Walton,0
CAK Walton,DE Bernard,11
DJG Sammy,DE Bernard,60
DE Bernard,DJG Sammy,64
NO Miller,DJG Sammy,0
DJG Sammy,NO Miller,0
DJG Sammy,KAJ Roach,90
KAJ Roach,DJG Sammy,12
DJG Sammy,TL Best,15
TL Best,DJG Sammy,4
FL Reifer,TM Dowlin,23
TM Dowlin,FL Reifer,31
TM Dowlin,DE Bernard,31
DE Bernard,TM Dowlin,30
NO Miller,DE Bernard,5
DE Bernard,NO Miller,23
DE Bernard,RA Austin,25
RA Austin,DE Bernard,3
DE Bernard,KAJ Roach,5
KAJ Roach,DE Bernard,3
DE Bernard,TL Best,9
TL Best,DE Bernard,14
DM Richards,TM Dowlin,33
TM Dowlin,DM Richards,11
TM Dowlin,RO Hinds,9
RO Hinds,TM Dowlin,4
TM Dowlin,DJG Sammy,0
DJG Sammy,TM Dowlin,1
TM Dowlin,CAK Walton,0
CAK Walton,TM Dowlin,2
RA Austin,TM Dowlin,19
TM Dowlin,RA Austin,38
TM Dowlin,TL Best,1
TL Best,TM Dowlin,0
TM Dowlin,KAJ Roach,12
KAJ Roach,TM Dowlin,4
TL Best,KAJ Roach,7
KAJ Roach,TL Best,1
AB Barath,CH Gayle,101
CH Gayle,AB Barath,138
