striker,non_striker,runs
JC Archer,JC Buttler,19
JC Archer,SCJ Broad,19
SCJ Broad,JC Archer,20
SCJ Broad,MJ Leach,13
MJ Leach,SCJ Broad,5
JC Archer,BA Stokes,15
BA Stokes,JC Archer,10
BA Stokes,MJ Leach,74
MJ Leach,BA Stokes,1
RJ Burns,C Overton,10
C Overton,RJ Burns,5
BA Stokes,JJ Roy,5
JJ Roy,BA Stokes,15
JC Buttler,MJ Leach,88
MJ Leach,JC Buttler,39
JL Denly,JJ Roy,35
JJ Roy,JL Denly,31
JC Buttler,C Overton,16
C Overton,JC Buttler,14
C Overton,JC Archer,0
JC Archer,C Overton,1
C Overton,MJ Leach,6
MJ Leach,C Overton,12
JC Archer,MJ Leach,3
MJ Leach,JC Archer,9
JL Denly,JC Buttler,3
JC Buttler,JL Denly,0
MM Ali,MA Wood,61
MA Wood,MM Ali,67
KK Jennings,JL Denly,15
JL Denly,KK Jennings,29
TT Beaumont,AE Jones,0
AE Jones,TT Beaumont,0
AE Jones,HC Knight,42
HC Knight,AE Jones,28
AE Jones,GA Elwiss,21
GA Elwiss,AE Jones,9
AE Jones,NR Sciver,1
NR Sciver,AE Jones,6
SJ Taylor,NR Sciver,30
NR Sciver,SJ Taylor,20
NR Sciver,KH Brunt,41
KH Brunt,NR Sciver,15
NR Sciver,A Shrubsole,9
A Shrubsole,NR Sciver,11
NR Sciver,LA Marsh,25
LA Marsh,NR Sciver,14
S Ecclestone,LA Marsh,9
LA Marsh,S Ecclestone,14
DP Sibley,RJ Burns,177
RJ Burns,DP Sibley,262
DP Sibley,JL Denly,106
JL Denly,DP Sibley,75
JC Archer,JM Anderson,5
JM Anderson,JC Archer,4
DP Sibley,Z Crawley,161
Z Crawley,DP Sibley,233
OJ Pope,JC Buttler,117
JC Buttler,OJ Pope,138
SM Curran,OJ Pope,53
OJ Pope,SM Curran,14
DM Bess,OJ Pope,4
OJ Pope,DM Bess,22
OJ Pope,SCJ Broad,2
SCJ Broad,OJ Pope,1
JM Anderson,OJ Pope,4
OJ Pope,JM Anderson,29
DP Sibley,JE Root,109
JE Root,DP Sibley,131
DP Sibley,DM Bess,0
DM Bess,DP Sibley,0
BA Stokes,DP Sibley,227
DP Sibley,BA Stokes,105
DP Sibley,OJ Pope,2
OJ Pope,DP Sibley,3
DP Sibley,JC Buttler,16
JC Buttler,DP Sibley,23
DP Sibley,SM Curran,2
SM Curran,DP Sibley,13
DP Sibley,SCJ Broad,8
SCJ Broad,DP Sibley,8
JL Denly,Z Crawley,27
Z Crawley,JL Denly,52
OJ Pope,MA Wood,29
MA Wood,OJ Pope,42
MA Wood,CR Woakes,1
CR Woakes,MA Wood,8
SM Curran,JE Root,36
JE Root,SM Curran,12
MA Wood,JE Root,37
JE Root,MA Wood,22
JE Root,SCJ Broad,108
SCJ Broad,JE Root,177
JL Denly,OJ Pope,6
OJ Pope,JL Denly,5
SM Curran,JC Archer,32
JC Archer,SM Curran,38
JE Root,Z Crawley,45
Z Crawley,JE Root,13
CR Woakes,DM Bess,16
DM Bess,CR Woakes,7
CR Woakes,JC Archer,3
JC Archer,CR Woakes,6
Z Crawley,OJ Pope,14
OJ Pope,Z Crawley,3
JC Buttler,Z Crawley,138
Z Crawley,JC Buttler,200
RJ Burns,Z Crawley,2
Z Crawley,RJ Burns,0
Z Crawley,BA Stokes,69
BA Stokes,Z Crawley,59
DM Bess,JC Archer,4
JC Archer,DM Bess,3
OJ Pope,JC Archer,0
JC Archer,OJ Pope,1
MA Wood,JC Archer,2
JC Archer,MA Wood,17
DM Bess,SM Curran,0
SM Curran,DM Bess,1
OJ Pope,RJ Burns,18
RJ Burns,OJ Pope,11
AN Cook,AJ Strauss,1761
AJ Strauss,AN Cook,1914
MP Vaughan,AJ Strauss,137
AJ Strauss,MP Vaughan,145
MP Vaughan,KP Pietersen,6
KP Pietersen,MP Vaughan,24
MP Vaughan,IR Bell,12
IR Bell,MP Vaughan,16
PD Collingwood,MP Vaughan,6
MP Vaughan,PD Collingwood,20
MP Vaughan,TR Ambrose,0
TR Ambrose,MP Vaughan,0
MP Vaughan,SCJ Broad,33
SCJ Broad,MP Vaughan,25
MP Vaughan,RJ Sidebottom,29
RJ Sidebottom,MP Vaughan,16
MP Vaughan,MS Panesar,1
MS Panesar,MP Vaughan,0
MP Vaughan,JM Anderson,1
JM Anderson,MP Vaughan,0
KP Pietersen,RJ Sidebottom,0
RJ Sidebottom,KP Pietersen,4
KP Pietersen,IR Bell,1211
IR Bell,KP Pietersen,915
IR Bell,PD Collingwood,366
PD Collingwood,IR Bell,334
PD Collingwood,TR Ambrose,156
TR Ambrose,PD Collingwood,175
TR Ambrose,SCJ Broad,19
SCJ Broad,TR Ambrose,31
SCJ Broad,MS Panesar,17
MS Panesar,SCJ Broad,11
AJ Strauss,KP Pietersen,353
KP Pietersen,AJ Strauss,399
PD Collingwood,KP Pietersen,501
KP Pietersen,PD Collingwood,491
TR Ambrose,KP Pietersen,68
KP Pietersen,TR Ambrose,109
RJ Sidebottom,SCJ Broad,19
SCJ Broad,RJ Sidebottom,69
RJ Sidebottom,MS Panesar,20
MS Panesar,RJ Sidebottom,7
AN Cook,MP Vaughan,124
MP Vaughan,AN Cook,124
KP Pietersen,AN Cook,1321
AN Cook,KP Pietersen,1030
IR Bell,TR Ambrose,11
TR Ambrose,IR Bell,16
IR Bell,SCJ Broad,206
SCJ Broad,IR Bell,255
IR Bell,RJ Sidebottom,11
RJ Sidebottom,IR Bell,1
IR Bell,A Flintoff,19
A Flintoff,IR Bell,16
A Flintoff,SCJ Broad,53
SCJ Broad,A Flintoff,40
JM Anderson,MS Panesar,77
MS Panesar,JM Anderson,33
DJ Pattinson,JM Anderson,8
JM Anderson,DJ Pattinson,3
AN Cook,IR Bell,677
IR Bell,AN Cook,681
TR Ambrose,AN Cook,0
AN Cook,TR Ambrose,9
TR Ambrose,A Flintoff,58
A Flintoff,TR Ambrose,43
SCJ Broad,DJ Pattinson,45
DJ Pattinson,SCJ Broad,13
RJ Sidebottom,A Flintoff,8
A Flintoff,RJ Sidebottom,19
JM Anderson,A Flintoff,4
A Flintoff,JM Anderson,21
A Flintoff,MS Panesar,0
MS Panesar,A Flintoff,1
PD Collingwood,A Flintoff,52
A Flintoff,PD Collingwood,85
PD Collingwood,RJ Sidebottom,60
RJ Sidebottom,PD Collingwood,38
PD Collingwood,JM Anderson,2
JM Anderson,PD Collingwood,11
MS Panesar,PD Collingwood,6
PD Collingwood,MS Panesar,11
SCJ Broad,PD Collingwood,110
PD Collingwood,SCJ Broad,82
SCJ Broad,SJ Harmison,11
SJ Harmison,SCJ Broad,25
SJ Harmison,JM Anderson,36
JM Anderson,SJ Harmison,13
MS Panesar,SJ Harmison,0
SJ Harmison,MS Panesar,0
AJ Strauss,IR Bell,278
IR Bell,AJ Strauss,360
MP Vaughan,MJ Hoggard,0
MJ Hoggard,MP Vaughan,2
TR Ambrose,RJ Sidebottom,10
RJ Sidebottom,TR Ambrose,2
RJ Sidebottom,SJ Harmison,16
SJ Harmison,RJ Sidebottom,7
MJ Hoggard,IR Bell,4
IR Bell,MJ Hoggard,2
IR Bell,SJ Harmison,9
SJ Harmison,IR Bell,1
IR Bell,MS Panesar,54
MS Panesar,IR Bell,10
KP Pietersen,SCJ Broad,56
SCJ Broad,KP Pietersen,31
RJ Sidebottom,JM Anderson,12
JM Anderson,RJ Sidebottom,1
AJ Strauss,PD Collingwood,194
PD Collingwood,AJ Strauss,219
AJ Strauss,TR Ambrose,31
TR Ambrose,AJ Strauss,31
RS Bopara,AJ Strauss,69
AJ Strauss,RS Bopara,68
KP Pietersen,RS Bopara,38
RS Bopara,KP Pietersen,35
KP Pietersen,MJ Prior,151
MJ Prior,KP Pietersen,203
MJ Prior,A Flintoff,119
A Flintoff,MJ Prior,104
MJ Prior,JM Anderson,129
JM Anderson,MJ Prior,73
JM Anderson,GP Swann,106
GP Swann,JM Anderson,224
MS Panesar,GP Swann,8
GP Swann,MS Panesar,15
MJ Prior,PD Collingwood,313
PD Collingwood,MJ Prior,215
PD Collingwood,GP Swann,54
GP Swann,PD Collingwood,74
AJ Strauss,MJ Prior,31
MJ Prior,AJ Strauss,38
AJ Strauss,A Flintoff,25
A Flintoff,AJ Strauss,16
AJ Strauss,SCJ Broad,35
SCJ Broad,AJ Strauss,11
SCJ Broad,GP Swann,204
GP Swann,SCJ Broad,209
G Onions,JM Anderson,19
JM Anderson,G Onions,29
IR Bell,MJ Prior,434
MJ Prior,IR Bell,552
G Onions,SCJ Broad,2
SCJ Broad,G Onions,18
RS Bopara,AN Cook,151
AN Cook,RS Bopara,116
AN Cook,PD Collingwood,165
PD Collingwood,AN Cook,163
AN Cook,MJ Prior,67
MJ Prior,AN Cook,112
MJ Prior,SCJ Broad,508
SCJ Broad,MJ Prior,465
MJ Prior,GP Swann,255
GP Swann,MJ Prior,285
MJ Prior,SJ Harmison,32
SJ Harmison,MJ Prior,14
MJ Prior,G Onions,24
G Onions,MJ Prior,4
SJ Harmison,GP Swann,15
GP Swann,SJ Harmison,15
SJ Harmison,G Onions,4
G Onions,SJ Harmison,0
IR Bell,IJL Trott,341
IJL Trott,IR Bell,411
IJL Trott,MJ Prior,237
MJ Prior,IJL Trott,244
IJL Trott,A Flintoff,9
A Flintoff,IJL Trott,29
IJL Trott,SCJ Broad,155
SCJ Broad,IJL Trott,211
AJ Strauss,IJL Trott,553
IJL Trott,AJ Strauss,518
GP Swann,IJL Trott,97
IJL Trott,GP Swann,44
JM Anderson,IJL Trott,31
IJL Trott,JM Anderson,43
KP Pietersen,A Flintoff,142
A Flintoff,KP Pietersen,78
