striker,non_striker,runs
BJ Hodge,A Symonds,26
A Symonds,BJ Hodge,19
SCG MacGill,SR Clark,0
SR Clark,SCG MacGill,1
SM Katich,MJ Clarke,245
MJ Clarke,SM Katich,248
MJ Clarke,BJ Haddin,627
BJ Haddin,MJ Clarke,666
MEK Hussey,PA Jaques,40
PA Jaques,MEK Hussey,28
A Symonds,SM Katich,25
SM Katich,A Symonds,40
A Symonds,B Casson,6
B Casson,A Symonds,2
B Casson,B Lee,8
B Lee,B Casson,18
SR Clark,B Lee,1
B Lee,SR Clark,4
SM Katich,ML Hayden,264
ML Hayden,SM Katich,264
MEK Hussey,SR Watson,228
SR Watson,MEK Hussey,244
MEK Hussey,BJ Haddin,469
BJ Haddin,MEK Hussey,443
CL White,MEK Hussey,6
MEK Hussey,CL White,6
MEK Hussey,SR Clark,0
SR Clark,MEK Hussey,0
SR Watson,BJ Haddin,53
BJ Haddin,SR Watson,52
BJ Haddin,CL White,34
CL White,BJ Haddin,41
SR Watson,CL White,22
CL White,SR Watson,16
SR Watson,B Lee,32
B Lee,SR Watson,35
SR Watson,MG Johnson,38
MG Johnson,SR Watson,44
MG Johnson,PM Siddle,153
PM Siddle,MG Johnson,67
MJ Clarke,SR Watson,399
SR Watson,MJ Clarke,410
CL White,MJ Clarke,45
MJ Clarke,CL White,43
PM Siddle,MJ Clarke,60
MJ Clarke,PM Siddle,98
CL White,JJ Krejza,17
JJ Krejza,CL White,9
CL White,MG Johnson,20
MG Johnson,CL White,14
ML Hayden,MJ Clarke,22
MJ Clarke,ML Hayden,22
ML Hayden,SR Watson,4
SR Watson,ML Hayden,0
CL White,B Lee,1
B Lee,CL White,0
SM Katich,PJ Hughes,191
PJ Hughes,SM Katich,386
MJ Clarke,MJ North,551
MJ North,MJ Clarke,437
MJ North,BJ Haddin,275
BJ Haddin,MJ North,450
BJ Haddin,MG Johnson,323
MG Johnson,BJ Haddin,302
NM Hauritz,BJ Haddin,20
BJ Haddin,NM Hauritz,40
NM Hauritz,PM Siddle,78
PM Siddle,NM Hauritz,78
PM Siddle,BW Hilfenhaus,62
BW Hilfenhaus,PM Siddle,41
PJ Hughes,RT Ponting,166
RT Ponting,PJ Hughes,160
MG Johnson,NM Hauritz,74
NM Hauritz,MG Johnson,59
BW Hilfenhaus,MG Johnson,38
MG Johnson,BW Hilfenhaus,82
SM Katich,SR Watson,645
SR Watson,SM Katich,805
RT Ponting,SR Watson,349
SR Watson,RT Ponting,309
MJ North,GA Manou,1
GA Manou,MJ North,8
GA Manou,MG Johnson,0
MG Johnson,GA Manou,0
GA Manou,NM Hauritz,0
NM Hauritz,GA Manou,0
NM Hauritz,BW Hilfenhaus,18
BW Hilfenhaus,NM Hauritz,22
MJ Clarke,GA Manou,13
GA Manou,MJ Clarke,13
MG Johnson,MJ North,90
MJ North,MG Johnson,103
PM Siddle,MJ North,0
MJ North,PM Siddle,1
SR Clark,MJ North,32
MJ North,SR Clark,10
MJ North,BW Hilfenhaus,5
BW Hilfenhaus,MJ North,0
SM Katich,MJ North,32
MJ North,SM Katich,29
SM Katich,BJ Haddin,47
BJ Haddin,SM Katich,56
PM Siddle,SR Clark,6
SR Clark,PM Siddle,6
MEK Hussey,MJ North,145
MJ North,MEK Hussey,134
MEK Hussey,PM Siddle,118
PM Siddle,MEK Hussey,94
MEK Hussey,BW Hilfenhaus,14
BW Hilfenhaus,MEK Hussey,5
MJ North,AB McDonald,1
AB McDonald,MJ North,0
PJ Hughes,MEK Hussey,20
MEK Hussey,PJ Hughes,19
